Sending command: Time 1725686062.803589, Addr 1, Duty 6, Freq 0, Start/Stop 1
Sending command: Time 1725686062.803589, Addr 2, Duty 7, Freq 0, Start/Stop 1
Sending command: Time 1725686062.803589, Addr 3, Duty 11, Freq 0, Start/Stop 1
Sending command: Time 1725686062.822945, Addr 1, Duty 2, Freq 0, Start/Stop 1
Sending command: Time 1725686062.822945, Addr 2, Duty 9, Freq 0, Start/Stop 1
Sending command: Time 1725686062.822945, Addr 3, Duty 11, Freq 0, Start/Stop 1
Sending command: Time 1725686062.844977, Addr 1, Duty -1, Freq 0, Start/Stop 1
Sending command: Time 1725686062.844977, Addr 2, Duty 11, Freq 0, Start/Stop 1
Sending command: Time 1725686062.844977, Addr 3, Duty 11, Freq 0, Start/Stop 1
Sending command: Time 1725686062.8666701, Addr 1, Duty -5, Freq 0, Start/Stop 1
Sending command: Time 1725686062.8666701, Addr 2, Duty 12, Freq 0, Start/Stop 1
Sending command: Time 1725686062.8666701, Addr 3, Duty 12, Freq 0, Start/Stop 1
Sending command: Time 1725686062.8874729, Addr 1, Duty -9, Freq 0, Start/Stop 1
Sending command: Time 1725686062.8874729, Addr 2, Duty 14, Freq 0, Start/Stop 1
Sending command: Time 1725686062.8874729, Addr 3, Duty 12, Freq 0, Start/Stop 1
Sending command: Time 1725686062.907326, Addr 1, Duty -11, Freq 0, Start/Stop 1
Sending command: Time 1725686062.907326, Addr 2, Duty -14, Freq 0, Start/Stop 1
Sending command: Time 1725686062.907326, Addr 3, Duty 12, Freq 0, Start/Stop 1
Sending command: Time 1725686062.9295151, Addr 1, Duty -14, Freq 0, Start/Stop 1
Sending command: Time 1725686062.9295151, Addr 2, Duty -13, Freq 0, Start/Stop 1
Sending command: Time 1725686062.9295151, Addr 3, Duty 13, Freq 0, Start/Stop 1
Sending command: Time 1725686062.950811, Addr 1, Duty -15, Freq 0, Start/Stop 1
Sending command: Time 1725686062.950811, Addr 2, Duty -11, Freq 0, Start/Stop 1
Sending command: Time 1725686062.950811, Addr 3, Duty 13, Freq 0, Start/Stop 1
Sending command: Time 1725686062.9702148, Addr 1, Duty -15, Freq 0, Start/Stop 1
Sending command: Time 1725686062.9702148, Addr 2, Duty -10, Freq 0, Start/Stop 1
Sending command: Time 1725686062.9702148, Addr 3, Duty 13, Freq 0, Start/Stop 1
Sending command: Time 1725686062.989675, Addr 1, Duty -14, Freq 0, Start/Stop 1
Sending command: Time 1725686062.989675, Addr 2, Duty -8, Freq 0, Start/Stop 1
Sending command: Time 1725686062.989675, Addr 3, Duty 13, Freq 0, Start/Stop 1
Sending command: Time 1725686063.010703, Addr 1, Duty -12, Freq 0, Start/Stop 1
Sending command: Time 1725686063.010703, Addr 2, Duty -6, Freq 0, Start/Stop 1
Sending command: Time 1725686063.010703, Addr 3, Duty 14, Freq 0, Start/Stop 1
Sending command: Time 1725686063.030404, Addr 1, Duty -10, Freq 0, Start/Stop 1
Sending command: Time 1725686063.030404, Addr 2, Duty -5, Freq 0, Start/Stop 1
Sending command: Time 1725686063.030404, Addr 3, Duty 14, Freq 0, Start/Stop 1
Sending command: Time 1725686063.05178, Addr 1, Duty -7, Freq 0, Start/Stop 1
Sending command: Time 1725686063.05178, Addr 2, Duty -3, Freq 0, Start/Stop 1
Sending command: Time 1725686063.05178, Addr 3, Duty 14, Freq 0, Start/Stop 1
Sending command: Time 1725686063.071424, Addr 1, Duty -3, Freq 0, Start/Stop 1
Sending command: Time 1725686063.071424, Addr 2, Duty -1, Freq 0, Start/Stop 1
Sending command: Time 1725686063.071424, Addr 3, Duty 14, Freq 0, Start/Stop 1
Sending command: Time 1725686063.128334, Addr 1, Duty 1, Freq 0, Start/Stop 1
Sending command: Time 1725686063.128334, Addr 2, Duty 0, Freq 0, Start/Stop 1
Sending command: Time 1725686063.128334, Addr 3, Duty 14, Freq 0, Start/Stop 1
Sending command: Time 1725686063.1528919, Addr 1, Duty 5, Freq 0, Start/Stop 1
Sending command: Time 1725686063.1528919, Addr 2, Duty 2, Freq 0, Start/Stop 1
Sending command: Time 1725686063.1528919, Addr 3, Duty 14, Freq 0, Start/Stop 1
Sending command: Time 1725686063.1732512, Addr 1, Duty 8, Freq 0, Start/Stop 1
Sending command: Time 1725686063.1732512, Addr 2, Duty 4, Freq 0, Start/Stop 1
Sending command: Time 1725686063.1732512, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.19445, Addr 1, Duty 11, Freq 0, Start/Stop 1
Sending command: Time 1725686063.19445, Addr 2, Duty 5, Freq 0, Start/Stop 1
Sending command: Time 1725686063.19445, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.2156742, Addr 1, Duty 13, Freq 0, Start/Stop 1
Sending command: Time 1725686063.2156742, Addr 2, Duty 7, Freq 0, Start/Stop 1
Sending command: Time 1725686063.2156742, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.2359061, Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.2359061, Addr 2, Duty 9, Freq 0, Start/Stop 1
Sending command: Time 1725686063.2359061, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.2552829, Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.2552829, Addr 2, Duty 10, Freq 0, Start/Stop 1
Sending command: Time 1725686063.2552829, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.2771251, Addr 1, Duty 14, Freq 0, Start/Stop 1
Sending command: Time 1725686063.2771251, Addr 2, Duty 12, Freq 0, Start/Stop 1
Sending command: Time 1725686063.2771251, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.2979321, Addr 1, Duty 13, Freq 0, Start/Stop 1
Sending command: Time 1725686063.2979321, Addr 2, Duty 14, Freq 0, Start/Stop 1
Sending command: Time 1725686063.2979321, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.318409, Addr 1, Duty 10, Freq 0, Start/Stop 1
Sending command: Time 1725686063.318409, Addr 2, Duty -15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.318409, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.3379211, Addr 1, Duty 7, Freq 0, Start/Stop 1
Sending command: Time 1725686063.3379211, Addr 2, Duty -13, Freq 0, Start/Stop 1
Sending command: Time 1725686063.3379211, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.358986, Addr 1, Duty 4, Freq 0, Start/Stop 1
Sending command: Time 1725686063.358986, Addr 2, Duty -12, Freq 0, Start/Stop 1
Sending command: Time 1725686063.358986, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.383135, Addr 1, Duty 0, Freq 0, Start/Stop 1
Sending command: Time 1725686063.383135, Addr 2, Duty -10, Freq 0, Start/Stop 1
Sending command: Time 1725686063.383135, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4025018, Addr 1, Duty -4, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4025018, Addr 2, Duty -8, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4025018, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.422039, Addr 1, Duty -8, Freq 0, Start/Stop 1
Sending command: Time 1725686063.422039, Addr 2, Duty -7, Freq 0, Start/Stop 1
Sending command: Time 1725686063.422039, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4426959, Addr 1, Duty -11, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4426959, Addr 2, Duty -5, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4426959, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4647648, Addr 1, Duty -13, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4647648, Addr 2, Duty -3, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4647648, Addr 3, Duty 15, Freq 0, Start/Stop 1
