Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 8, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 10, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 8, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 10, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 9, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 13, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 9, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 13, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 11, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 11, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 12, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 12, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 13, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 14, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 13, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 14, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 14, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 12, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 14, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 12, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 9, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 9, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 0, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 1, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 5, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 0, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 1, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 5, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 0, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 2, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 3, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 0, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 2, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 3, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 0, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 3, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 1, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 0, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 3, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 1, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 0, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 4, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 0, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 0, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 4, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 0, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 0, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 5, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 1, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 0, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 5, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 1, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 0, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 6, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 3, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 0, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 6, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 3, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 0, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 7, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 6, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 0, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 7, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 6, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 8, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 9, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 8, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 9, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 9, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 12, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 9, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 12, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 10, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 14, Freq 0, Start/Stop 1
Sending command: Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Addr 2, Duty 10, Freq 0, Start/Stop 1
Sending command: Addr 0, Duty 14, Freq 0, Start/Stop 1
